SEQ_NO|SUPPLIER|INVOICE_DATE|LINE_DESCRIPTION|QUANTITY|UNIT_OF_MEASURE|UNIT_COST|EXTENDED_AMOUNT
1348922|1580 Medline Industries Inc|2024-12-31|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|10.0|Bag|1.86|18.6
1349580|1580 Medline Industries Inc|2024-12-28|BULB SCOPE HALOGEN VAGINAL SPECULUM EXAMINATION 6V RECTAL|3.0|Box|104.01|312.03
1349598|1580 Medline Industries Inc|2024-12-28|RELOAD, ENDO GIA MED THICK PURPLE 45MM|1.0||930.0|930.0
1349605|1580 Medline Industries Inc|2024-12-28|SUTURE, 2-0 SILK FS 18IN|2.0||23.63|47.26
1349611|1580 Medline Industries Inc|2024-12-28|SUTURE, 5-0 18IN MONOCRYL ANTIBACTERIAL UNDYED P-3|1.0||88.79|88.79
1349616|1580 Medline Industries Inc|2024-12-28|SUTURE, 2-0 SILK FS 18IN|1.0||22.89|22.89
1349647|1580 Medline Industries Inc|2024-12-28|PACK, ARTHROSCOPY KNEE CUSTOM|1.0||207.91|207.91
1349961|1580 Medline Industries Inc|2024-12-27|INVISISHIELD ISOLATION BAG, STERILE, 20X20|6.0|Each|4.96|29.76
1350283|1580 Medline Industries Inc|2024-12-27|SUTURE, 5-0 18IN MONOCRYL ANTIBACTERIAL UNDYED PS-2|1.0||96.31|96.31
1351092|1580 Medline Industries Inc|2024-12-26|RELOAD, ENDO GIA MED THICK PURPLE 45MM|2.0||930.0|1860.0
1351099|1580 Medline Industries Inc|2024-12-26|RELOAD, ENDO GIA MED THICK PURPLE 45MM|1.0||930.0|930.0
1351209|1580 Medline Industries Inc|2024-12-25|INDICATOR, BIOLOGICAL RAPID READOUT 4 HR|1.0|Case|1367.9|1367.9
1351494|1580 Medline Industries Inc|2024-12-25|SUTURE, 2-0 SILK FS 18IN|1.0||34.11|34.11
1351790|1580 Medline Industries Inc|2024-12-24|"Forceps: Sponge Forceps, 9.5"", DisposableMedline Sponge Forceps"|4.0|Each|5.0|20.0
1351999|1580 Medline Industries Inc|2024-12-24|SUTURE, 5-0 18IN MONOCRYL ANTIBACTERIAL UNDYED PS-2|1.0||94.43|94.43
1352472|1580 Medline Industries Inc|2024-12-23|Gloves: FitGuard Powder-Free Nitrile Exam Gloves with Textured Fingertips, Size|6.0|Box|14.75|88.5
1352484|1580 Medline Industries Inc|2024-12-23|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|10.0|Bag|1.86|18.6
1352503|1580 Medline Industries Inc|2024-12-23|"Underpads: Protection Plus Underpad, Light Absorbency, 17"" x 24"", Blue, Inner Pa"|10.0|Bag|1.86|18.6
1352507|1580 Medline Industries Inc|2024-12-23|Gloves: Protexis PI Synthetic Polyisoprene Surgical Gloves, Powder Free, Size 7.|15.0|Pair|1.51|22.65
1352518|1580 Medline Industries Inc|2024-12-23|Gloves: FitGuard Powder-Free Nitrile Exam Gloves with Textured Fingertips, Size|1.0|Case|147.52|147.52
1352529|1580 Medline Industries Inc|2024-12-23|Vaginal Speculums: KleenSpec 590 Series Vaginal Speculum, Disposable, Size MCent|2.0|Case|134.6|269.2
1352548|1580 Medline Industries Inc|2024-12-23|BP Cuffs: FlexiPort Reusable 1-Tube Blood Pressure Cuff, Screw Connector, Adult,|2.0|Each|8.5|17.0
1352977|1580 Medline Industries Inc|2024-12-23|SCISSOR, ENDO SHEARS 5MM|1.0||351.84|351.84
1353127|1580 Medline Industries Inc|2024-12-21|INVISISHIELD ISOLATION BAG, STERILE, 20X20|6.0|Each|4.96|29.76
1353314|1580 Medline Industries Inc|2024-12-21|MASK, LOOP, PURPLE, FOAM, LVL 3|8.0|Box|8.68|69.44
1353393|1580 Medline Industries Inc|2024-12-21|SPECULA VAGINAL GRAVES 590 SERIES KLEENSPEC DISPOSABLE LARGE|1.0|Box|32.04|32.04
1353859|1580 Medline Industries Inc|2024-12-20|Gloves: Protexis PI Synthetic Polyisoprene Surgical Gloves, Powder Free, Size 6.|1.0|Box|74.0|74.0
1353886|1580 Medline Industries Inc|2024-12-20|SPECULUM OTOSCOPE ROUND OPERATING PLASTIC DISPOSABLE KLEENSPEC BLACK 5MM|1.0|Box|30.94|30.94
1353893|1580 Medline Industries Inc|2024-12-20|"SPONGE,NEURO,1""X3"",XR,STRL,LF,10/PK"|10.0|Package|3.54|35.4
1353894|1580 Medline Industries Inc|2024-12-20|"SPONGE,NEURO,0.5""X0.5"",XR,STRL,10/PK"|20.0|Package|3.54|70.8
1353950|1580 Medline Industries Inc|2024-12-20|Vaginal Speculums: KleenSpec 590 Series Vaginal Speculum, Disposable, Size MCent|1.0|Case|134.6|134.6
