seq_no|Company|Supplier Invoice Document|Invoice Date|Invoice Line Amount|Invoice Created Date|Purchase Orders|Purchase Order Line|Item|Unit of Measure|Distribution Quantity|Line Description|Unit Cost|Supplier|Supplier ID|Ledger Account|Spend Category|Cost Center|Cost Center ID|Payment Status|Payment Date|FY25?|Check Number|Freight Amount|Other Charges|Invoice Status|Supplier Invoice Line Distribution|Invoice Total Amount|Derived Invoice Line Amount|CCHS_Description|UMass_Description
14849516|C340 UMass Memorial Medical Group, Inc.|Supplier Invoice Adjustment: SINV-392383|4/1/2024|-69.69|9/10/2024|PO-117145||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|34000 - 3071 Fitchburg Primary Care|CC340003071|Paid|10/21/2024|Yes|1029767.0|0|0|Approved|Supplier Invoice Adjustment: SINV-392383  - 69.69|-78.69|69.69|Freight|freight
14849613|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-415116|9/28/2024|25.0|9/28/2024|PO-171970||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10010 - 2182 Surg Day Care Hahnemann|CC100102182|Paid|10/21/2024|Yes|1029767.0|0|0|Approved|Supplier Invoice Adjustment: SINV-415116  - -25|-277.0|25.0|Freight|freight
14849639|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-416984|10/1/2024|64.58|10/1/2024|PO-172884||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10010 - 3827 Anesthesia Hahnemann|CC100103827|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice Adjustment: SINV-416984  - -64.58|-1227.1|64.58|Freight|freight
14849688|C240 UMass Memorial HealthAlliance-Clinton Hospital, Inc.|Supplier Invoice Adjustment: SINV-418564|10/2/2024|-14.34|10/2/2024|PO-167806||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|24070 - 2340 Emergency Room|CC240702340|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice Adjustment: SINV-418564  - 14.34|-154.85|14.34|Freight|freight
14849690|C240 UMass Memorial HealthAlliance-Clinton Hospital, Inc.|Supplier Invoice Adjustment: SINV-418565|10/2/2024|-16.13|10/2/2024|PO-168225||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|24070 - 5010 Food Services|CC240705010|Paid|10/25/2024|Yes|1054297.0|0|0|Approved|Supplier Invoice Adjustment: SINV-418565  - 16.13|-194.27|16.13|Freight|freight
14849900|C240 UMass Memorial HealthAlliance-Clinton Hospital, Inc.|Supplier Invoice Adjustment: SINV-423793|10/5/2024|-26.85|10/7/2024|PO-176164||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|24050 - 4102 Urgent Care|CC240504102|Paid|10/28/2024|Yes|1054775.0|0|0|Approved|Supplier Invoice Adjustment: SINV-423793  - 26.85|-130.77|26.85|Freight|freight
14849924|C240 UMass Memorial HealthAlliance-Clinton Hospital, Inc.|Supplier Invoice Adjustment: SINV-425019|10/8/2024|25.0|10/8/2024|PO-172465||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|24050 - 4102 Urgent Care|CC240504102|Paid|11/1/2024|Yes|1079363.0|0|0|Approved|Supplier Invoice Adjustment: SINV-425019  - -25|-411.98|25.0|Freight|freight
14849991|C250 UMass Memorial Health - Harrington Hospital, Inc.|Supplier Invoice Adjustment: SINV-427391|10/9/2024|53.35|10/9/2024|PO-179837||||0.0|freight|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|25080 - 0110 Nursing Admin|CC250800110|Paid|11/1/2024|Yes|1079363.0|0|0|Approved|Supplier Invoice Adjustment: SINV-427391  - -53.35|-1013.69|53.35|Freight|freight
14850264|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-440399|10/22/2024|30.02|10/22/2024|PO-180105||||1.0|FREIGHT|-30.02|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 3700 Nuclear Medicine|CC100203700|Paid|11/15/2024|Yes|1129121.0|0|0|Approved|Supplier Invoice Adjustment: SINV-440399  - -30.02|-570.28|30.02|Freight|freight
14850266|C100 UMass Memorial Medical Center, Inc.|Supplier Invoice Adjustment: SINV-440400|10/22/2024|25.0|10/22/2024|PO-176989||||0.0|FREIGHT|0.0|Medline Industries Inc|2767|8400:Non Medical and Surgical Supplies|Freight Expense|10020 - 3994 EKG|CC100203994|Paid|11/15/2024|Yes|1129121.0|0|0|Approved|Supplier Invoice Adjustment: SINV-440400  - -25|-273.08|25.0|Freight|freight
