seq_no|Supplier|Invoice_Date|Line_Description|QUANTITY|UNIT_OF_MEASURE|UNIT_COST|EXTENDED_AMOUNT
14849516|Medline Industries Inc|4/1/2024|freight|0.0||0.0|-69.69
14849613|Medline Industries Inc|9/28/2024|freight|0.0||0.0|25.0
14849639|Medline Industries Inc|10/1/2024|freight|0.0||0.0|64.58
14849688|Medline Industries Inc|10/2/2024|freight|0.0||0.0|-14.34
14849690|Medline Industries Inc|10/2/2024|freight|0.0||0.0|-16.13
14849900|Medline Industries Inc|10/5/2024|freight|0.0||0.0|-26.85
14849924|Medline Industries Inc|10/8/2024|FREIGHT|0.0||0.0|25.0
14849991|Medline Industries Inc|10/9/2024|freight|0.0||0.0|53.35
14850264|Medline Industries Inc|10/22/2024|FREIGHT|1.0||-30.02|30.02
14850266|Medline Industries Inc|10/22/2024|FREIGHT|0.0||0.0|25.0
14850269|Medline Industries Inc|10/22/2024|FREIGHT|1.0||-25.0|25.0
14850288|Medline Industries Inc|10/22/2024|FREIGHT|0.0||0.0|76.05
14850330|Medline Industries Inc|10/24/2024|FREIGHT|0.0||0.0|54.93
14850394|Medline Industries Inc|10/24/2024|FREIGHT|0.0||0.0|56.9
14850409|Medline Industries Inc|10/26/2024|FREIGHT|0.0||0.0|25.0
14850722|Medline Industries Inc|11/4/2024|FREIGHT|0.0||0.0|25.0
14850724|Medline Industries Inc|11/4/2024|FREIGHT|0.0||0.0|25.0
14850726|Medline Industries Inc|11/4/2024|CONTAINER SHARPS 5.4QT|1.0|Case|74.0|-74.0
14850727|Medline Industries Inc|11/4/2024|FREIGHT|0.0||0.0|25.0
14851064|Medline Industries Inc|11/12/2024|FREIGHT|0.0||0.0|-13.81
14851251|Medline Industries Inc|11/23/2024|BAG SPONGE COUNTER BLUE|1.0|Case|61.88|-61.88
14851286|Medline Industries Inc|11/26/2024|freight|0.0||0.0|25.0
14851289|Medline Industries Inc|11/25/2024|FREIGHT|0.0||0.0|25.0
14851291|Medline Industries Inc|11/26/2024|FREIGHT|0.0||0.0|47.06
14851293|Medline Industries Inc|11/25/2024|freight|0.0||0.0|25.0
14851296|Medline Industries Inc|11/25/2024|FREIGHT|0.0||0.0|25.0
14851343|Medline Industries Inc|11/28/2024|freight|0.0||0.0|44.86
14851418|Medline Industries Inc|12/3/2024|FREIGHT|0.0||0.0|25.0
14851546|Medline Industries Inc|12/3/2024|PACK SHOULDER ARTHROSCOPY CUSTOM|1.0|Case|422.3|-422.3
14851598|Medline Industries Inc|12/4/2024|FREIGHT|0.0||0.0|40.52
14851674|Medline Industries Inc|12/10/2024|FREIGHT|0.0||0.0|25.0
14851774|Medline Industries Inc|12/12/2024|FREIGHT|0.0||0.0|-8.13
14851776|Medline Industries Inc|12/13/2024|FREIGHT|0.0||0.0|29.46
14852324|Medline Industries Inc|1/6/2025|SPLINT FINGER BASEBALL MEDIUM|2.0|Case|10.83|-21.66
14852325|Medline Industries Inc|1/6/2025|MASK PROCEDURE EARLOOP STANDARD BLUE|4.0|Case|26.0|-104.0
14852681|Medline Industries Inc|1/16/2025|MASK PROCEDURE EARLOOP STANDARD BLUE|20.0|Case|26.0|-520.0
14853212|Medline Industries Inc|1/29/2025|PASTE PROTECTANT SKIN ZGUARD PHYTOPLEX REMEDY 4OZ|5.0|Case|32.7|-163.5
14853271|Medline Industries Inc|1/31/2025|freight|0.0||0.0|272.0
14854307|Medline Industries Inc|2/28/2025|MASK PROCEDURE EARLOOP STANDARD BLUE|3.0|Case|26.0|-78.0
14854738|Medline Industries Inc|3/8/2025|SOLUTION INHALATION WATER BAG STERILE 1000ML|1.0|Case|53.03|-53.03
14854798|Medline Industries Inc|3/12/2025|SOLIDIFIER TRADITIONAL 1500CC LIQUI-LOC|96.0|Case|124.75|-11976.0
14855289|Medline Industries Inc|3/26/2025|"Metzenbaum Dissecting Scissors, Curved, Blunt/Blunt, 12"" (30 cm)"|2.0|Each|27.21|-54.42
14855957|Medline Industries Inc|4/2/2025|PAD PREP ALCOHOL 2 PLY STERILE MEDIUM|2.0|Case|20.79|-41.58
14856922|Medline Industries Inc|4/10/2025|DRESSING RIBBON WITH STENGTHENING FIBER ROPE 0.39INX18IN AQUACEL HYDROFIBER|5.0|Box|347.93|-1739.65
